Candidate,Source,Date,Score
Clinton,chicagotribune.com,2016-09-24,-0.145394996
Clinton,chicagotribune.com,2016-09-26,-0.10916485721250002
Clinton,chicagotribune.com,2016-09-27,-0.19017566661546667
Clinton,chicagotribune.com,2016-09-28,-0.23439138215384617
Clinton,chicagotribune.com,2016-09-30,-0.27261445767058823
Clinton,chicagotribune.com,2016-10-01,-0.31003946504
Clinton,chicagotribune.com,2016-10-02,-0.39885355812499995
Clinton,chicagotribune.com,2016-10-03,-0.2739049654985714
Clinton,chicagotribune.com,2016-10-04,-0.1988994606340741
Clinton,chicagotribune.com,2016-10-05,-0.291377991
Clinton,chicagotribune.com,2016-10-07,-0.18101914542857142
Clinton,cnn.com,2016-08-16,0.20243073766666664
Clinton,cnn.com,2016-08-18,0.01903645232499999
Clinton,cnn.com,2016-08-19,0.0356029624
Clinton,cnn.com,2016-08-20,-0.071672192435
Clinton,cnn.com,2016-08-21,-0.24942899682352943
Clinton,cnn.com,2016-08-22,-0.2749004125453333
Clinton,cnn.com,2016-08-23,-0.2154598426090909
Clinton,cnn.com,2016-08-24,-0.14567134166
Clinton,cnn.com,2016-08-26,-0.2717151588
Clinton,cnn.com,2016-08-28,-0.11593868017272727
Clinton,cnn.com,2016-08-30,-0.075842434
Clinton,cnn.com,2016-08-31,-0.051620161761111116
Clinton,cnn.com,2016-09-01,0.04616188347136362
Clinton,cnn.com,2016-09-02,-0.2312076385090909
Clinton,cnn.com,2016-09-04,0.142517999
Clinton,cnn.com,2016-09-05,-0.13959626465
Clinton,cnn.com,2016-09-06,-0.20117485805135138
Clinton,cnn.com,2016-09-07,-0.08490542866615385
Clinton,cnn.com,2016-09-08,0.09855039975
Clinton,cnn.com,2016-09-09,-0.12553150480409092
Clinton,cnn.com,2016-09-10,-0.19251480256599998
Clinton,cnn.com,2016-09-13,-0.15484458508333332
Clinton,cnn.com,2016-09-14,-0.2010066202214286
Clinton,cnn.com,2016-09-15,-0.15700453529999997
Clinton,cnn.com,2016-09-16,-0.30478124675
Clinton,cnn.com,2016-09-17,-0.20019149825
Clinton,cnn.com,2016-09-18,-0.2666284056
